op_per_byte,op_per_second
1,910000.0
2,1338333.334375
3,1421000.0
4,1517333.36
5,1625378.7515625
6,1664642.8575
7,1731916.6625
8,1739555.555
9,1797000.0
10,1833939.380625
11,1844166.699375
12,1850139.875625
13,1842261.934375
14,1873102.56375
15,1896516.13
16,1946110.17
17,1947527.76875
18,1972000.0
19,1959075.7025
20,1969032.4425
21,1933499.986875
22,1937454.41375
23,1955350.81625
24,1943891.55375
25,1988427.83125
26,2001638.12
27,1991354.955
28,2013293.478125
29,2010475.433125
30,2027342.5775
31,2016365.29
32,2019828.0
33,2031151.295
34,2033648.05875
35,2012947.5775
36,2013761.8
37,2042401.215625
38,2031759.805
39,2036503.814375
40,2042251.28
41,1989754.0675
42,2017175.599375
43,2062956.19
44,2029594.941875
45,2069346.42125
46,2033022.0
47,2040291.953125
48,2031327.566875
49,2072467.093125
50,2034891.9175
51,2029373.48375
52,2056564.158125
53,2060506.5875
54,2033183.23875
55,2023180.3340625
56,2083828.48625
57,2065086.9525
58,2064622.1575
59,2028128.63625
60,2061043.065625
61,2038693.130625
62,2067745.08125
63,2072775.12875
64,2060015.249375
65,2066792.135625
66,2046097.518125
67,2071160.2225
68,2076400.43375
69,2078989.734375
70,2043486.3975
71,2065210.13625
72,2085902.16375
73,2055116.455
74,2065355.139375
75,2077615.663125
76,2088518.67375
77,2072366.3175
78,2084233.8475
79,2102261.0575
80,2043212.435
81,2022879.758125
82,2103773.48125
83,2067602.6025
84,2115887.96375
85,2048706.32875
86,2096100.8075
87,2095615.16125
88,2084779.936875
89,2096056.045625
90,2080222.11875
91,2099019.4
92,2100812.32
93,2077815.24
94,2076362.195625
95,2100972.87375
96,2075346.59
97,2090166.9
98,2066022.530625
99,2057710.17625
100,2065475.470625
101,2063665.725
102,2076689.795
103,2065606.5225
104,2099030.10875
105,2088857.566875
106,2105415.16125
107,2078542.3625
108,2101192.171875
109,2099194.99625
110,2095735.8825
111,2051238.6325
112,2063631.43
113,2079974.14125
114,2066526.9975
115,2066325.06625
116,2093936.775625
117,2076376.23125
118,2056402.5125
119,2088717.545
120,2079279.49875
121,2075853.2025
122,2098143.4975
123,2097148.40875
124,2091027.15875
125,2050229.78125
126,2092437.12125
127,2124183.8525
128,2081163.38
129,2059869.715
130,2090020.67
131,2055417.39125
132,2070195.60625
133,2072175.28625
134,2107979.935
135,2122226.49
136,2069935.92125
137,2114302.92625
138,2101440.70375
139,2085707.165
140,2087189.85125
141,2110664.42
142,2027914.3253125
143,2103985.39375
144,2091141.38
145,2063924.1025
146,2081374.84875
147,2071013.33375
148,2082177.8809375
149,2123766.8075
150,2093777.190625
151,2061628.5225
152,2051385.8325
153,2083436.59125
154,2083291.039375
155,2090109.633125
156,2077645.78875
157,2072059.87125
158,2081542.5825
159,2113578.60875
160,2124594.605
161,2119597.058125
162,2086895.9475
163,2114161.24
164,2106659.015
165,2082091.12
166,2089457.52375
167,2090891.085
168,2100768.22
169,2096841.83625
170,2118176.0275
171,2077671.32
172,2084138.84
173,2060995.065
174,2102526.29125
175,2097959.08875
176,2059177.90625
177,2111894.34
178,2115662.09125
179,2107635.99875
180,2112619.0325
181,2075394.706875
182,2126872.6075
183,2122735.398125
184,2117300.13625
185,2026196.32625
186,2105366.71125
187,2096531.1325
188,2125459.328125
189,2114488.4025
190,2116554.02375
191,2098910.745
192,2088147.5225
193,2069122.35125
194,2071668.44875
195,2088490.34375
196,2119129.7275
197,2061753.23
198,2109472.436875
199,2109195.39875
300,2102362.476875
400,2086583.71625
500,2114772.42875
1000,2109938.5975
5000,2131871.54375
10000,2133431.5625
50000,2139701.53
100000,2166821.96125
