op_per_byte,op_per_second
1,227972.2221875
2,247559.52296875
3,259402.10234375
4,266299.711875
5,267080.96578125
6,257330.12914062
7,264189.1434375
8,263912.77484375
9,267759.989375
10,272219.745
11,270200.031875
12,266832.29359375
13,271556.01265625
14,268610.27296875
15,273163.53578125
16,265914.90171875
17,272396.41265625
18,271739.94875
19,275850.03359375
20,268602.78484375
21,266570.59625
22,268728.6921875
23,277224.88109375
24,270796.8715625
25,268432.77304687
26,276231.61984375
27,272995.7425
28,268927.7153125
29,271936.78859375
30,266367.94257813
31,268169.5209375
32,274686.9040625
33,272717.6428125
34,276021.0771875
35,271768.54390625
36,276886.24171875
37,270901.7903125
38,277644.3496875
39,272008.69234375
40,274386.025625
41,272718.64375
42,271478.41859375
43,268637.63257813
44,272289.18109375
45,268296.80078125
46,271894.7353125
47,269510.92453125
48,274911.29421875
49,271333.75015625
50,275674.98484375
51,275919.5121875
52,270879.80796875
53,272655.3903125
54,271643.6428125
55,269322.77109375
56,270355.02359375
57,269868.81875
58,280181.93859375
59,272878.03546875
60,273695.5359375
61,277731.48515625
62,274095.08296875
63,271762.7725
64,270302.0728125
65,272469.39421875
66,270664.80328125
67,273115.026875
68,269442.70703125
69,271487.24078125
70,273653.5065625
71,273061.343125
72,271341.099375
73,265751.76453125
74,273907.16625
75,277584.27890625
76,275098.55453125
77,272495.455625
78,271006.63296875
79,272395.67578125
80,266059.7
81,272545.44640625
82,277777.2784375
83,273333.10796875
84,270614.2871875
85,273875.32
86,277291.10765625
87,268449.59046875
88,275711.4090625
89,270688.16203125
90,274543.60015625
91,268528.791875
92,272855.308125
93,275480.70109375
94,270626.2575
95,274467.48
96,274142.90109375
97,272236.7815625
98,273513.129375
99,270842.41125
100,274357.10078125
101,277181.63859375
102,276218.99421875
103,271882.6809375
104,273795.16023438
105,278334.853125
106,272882.32375
107,270389.43859375
108,275302.29640625
109,276173.83421875
110,272743.059375
111,274363.2965625
112,266231.94828125
113,273737.9128125
114,270496.6471875
115,274842.954375
116,274932.43171875
117,272966.70171875
118,271900.591875
119,274354.58765625
120,272421.11328125
121,276221.5184375
122,272042.46609375
123,273701.0375
124,276892.759375
125,272674.6540625
126,275813.2478125
127,273844.93578125
128,275677.64546875
129,273947.305
130,273888.8196875
131,276113.50640625
132,273396.05109375
133,271691.84609375
134,271642.76234375
135,274531.41875
136,272673.78125
137,278368.2559375
138,276553.70078125
139,276641.3603125
140,275815.59546875
141,273035.74484375
142,270193.64390625
143,279261.34375
144,275503.3003125
145,273356.00125
146,274871.26984375
147,278187.10953125
148,276699.2375
149,277199.53359375
150,274885.1003125
151,276416.5390625
152,275908.2496875
153,275264.40859375
154,276988.2840625
155,278621.01484375
156,272168.59625
157,277341.33875
158,273949.61375
159,278178.7790625
160,276608.79953125
161,279191.72609375
162,275851.29578125
163,278383.175625
164,277890.375
165,275985.09859375
166,277104.14015625
167,275784.7925
168,277572.56234375
169,276896.265
170,273401.32578125
171,274854.37703125
172,275359.86515625
173,276892.4975
174,276793.47109375
175,276193.245
176,276176.81640625
177,276065.7534375
178,275128.05671875
179,273417.2184375
180,277558.55453125
181,277341.7528125
182,278953.64265625
183,277975.99078125
184,276950.2628125
185,273934.73921875
186,276333.92265625
187,277795.43453125
188,271957.52765625
189,278274.22828125
190,276202.6690625
191,273403.8321875
192,276975.5103125
193,277984.8759375
194,276862.46671875
195,278829.8565625
196,273467.178125
197,272317.76640625
198,277305.9921875
199,274858.75046875
300,277202.633125
400,280507.02125
500,279252.90390625
1000,278883.1490625
5000,279363.5715625
10000,281431.9090625
50000,281162.2953125
100000,280857.295
