op_per_byte,op_per_second
1,790000.0
2,922222.2265625
3,992500.0
4,1081333.34375
5,1095000.0
6,1118000.0
7,1139999.965
8,1156190.4625
9,1161535.705
10,1168055.56375
11,1165672.10390625
12,1186909.095
13,1183508.5575
14,1207132.83375
15,1201602.550625
16,1199120.885
17,1209428.6075
18,1212964.28
19,1208083.3225
20,1211274.5234375
21,1216973.56875
22,1220292.425
23,1224649.16375
24,1222736.835
25,1223809.55
26,1220649.34125
27,1225671.9575
28,1226798.37
29,1228297.15
30,1226590.909375
31,1229984.6275
32,1228467.25375
33,1225718.501875
34,1230514.48
35,1231681.666875
36,1235586.155
37,1219980.6171875
38,1238473.13875
39,1237227.815
40,1237121.225
41,1233035.795
42,1234520.504375
43,1237725.45125
44,1241428.59375
45,1240202.7125
46,1237993.675625
47,1237206.40125
48,1239168.6975
49,1238566.554375
50,1239472.389375
51,1234370.22875
52,1238445.74375
53,1245470.64
54,1240356.06
55,1229529.959375
56,1239558.129375
57,1238517.259375
58,1231502.020625
59,1241256.555
60,1239502.898125
61,1240896.439375
62,1244440.075
63,1240244.121875
64,1237888.4175
65,1245518.87375
66,1246019.1725
67,1242421.20625
68,1242717.161875
69,1244754.2375
70,1234390.38125
71,1245785.29875
72,1238458.525625
73,1243199.8325
74,1246360.8025
75,1240190.736875
76,1245997.02875
77,1247320.16625
78,1239175.4984375
79,1241744.63375
80,1244417.77
81,1247437.3225
82,1243097.653125
83,1247510.77875
84,1249859.5525
85,1245429.72125
86,1243353.689375
87,1236383.52875
88,1244575.055625
89,1246126.89
90,1242060.8625
91,1250557.48
92,1243034.83875
93,1246814.82125
94,1240502.783125
95,1248326.085625
96,1249789.0925
97,1245876.3
98,1248438.83
99,1248026.94875
100,1248940.90875
101,1243546.94625
102,1248296.68125
103,1246498.8875
104,1251371.1575
105,1248801.14875
106,1248850.7975
107,1250560.91
108,1251226.60875
109,1246969.00875
110,1246106.93625
111,1240800.606875
112,1249112.54625
113,1252011.32875
114,1246994.79875
115,1249786.389375
116,1251597.785
117,1244595.851875
118,1252088.2025
119,1240472.509375
120,1244427.645625
121,1244773.19625
122,1248972.63875
123,1250244.15125
124,1249882.85625
125,1245561.090625
126,1244256.165625
127,1249737.82875
128,1248559.89875
129,1244058.545625
130,1248437.30125
131,1246602.8025
132,1248932.16125
133,1243534.118125
134,1251276.70875
135,1250545.31125
136,1250909.81
137,1239856.315625
138,1251121.01875
139,1253751.985
140,1253603.6
141,1249753.375625
142,1251714.6825
143,1244957.0075
144,1245922.30375
145,1247841.879375
146,1249259.79125
147,1248437.26125
148,1247003.81125
149,1247784.646875
150,1243509.11
151,1248606.879375
152,1244669.259375
153,1252481.27625
154,1253056.75875
155,1253783.80625
156,1247550.195
157,1253289.515
158,1252226.3075
159,1253016.085
160,1248547.8325
161,1248595.1325
162,1253075.18625
163,1253213.235
164,1251578.73375
165,1249752.665
166,1250009.62
167,1246672.920625
168,1243759.769375
169,1247858.033125
170,1252943.90875
171,1250134.19375
172,1245033.956875
173,1244724.53125
174,1249832.550625
175,1254257.6825
176,1254231.25125
177,1253853.8725
178,1252490.36125
179,1251246.31
180,1252224.72375
181,1253798.025
182,1252224.01
183,1234859.986875
184,1248458.02875
185,1247839.12625
186,1251412.795625
187,1250856.110625
188,1251081.0825
189,1251627.990625
190,1251508.66625
191,1253209.03
192,1249089.473125
193,1252300.81
194,1255306.6375
195,1251648.858125
196,1252668.82875
197,1252670.5375
198,1256038.02
199,1245951.335
300,1256270.58
400,1252118.231875
500,1255745.26125
1000,1255654.6625
5000,1257838.32125
10000,1257749.32875
50000,1259313.995
100000,1259582.92125
